date,time,race,type,location
1/17/20,19:50:59,white,1 Moving,COWELL BL
1/17/20,20:29:28,mixed,3 Non-Moving,E ST
1/17/20,20:14:05,white,1 Moving,F ST
1/17/20,15:42:11,white,3 Non-Moving,CHILES RD
1/18/20,17:45:35,white,1 Moving,POLE LINE RD
1/18/20,01:15:25,hispanic/latino(a),1 Moving,ANDERSON RD
1/18/20,01:10:18,black/african american,1 Moving,ANDERSON RD
1/18/20,10:41:51,white,1 Moving,5TH ST
1/18/20,01:51:04,middle eastern or south asian,1 Moving,RESEARCH PARK DR
1/18/20,15:02:40,asian,1 Moving,5TH ST
1/18/20,12:17:47,white,2 Equipment,COWELL BL
1/19/20,09:39:41,black/african american,3 Non-Moving,CHILES RD
1/19/20,21:03:54,asian,1 Moving,5TH ST
1/19/20,22:45:11,white,2 Equipment,5TH ST
1/20/20,21:11:56,white,3 Non-Moving,RESEARCH PARK DR
1/20/20,23:06:02,white,2 Equipment,COWELL BL
1/20/20,00:25:32,white,1 Moving,ALHAMBRA DR
1/20/20,17:07:27,asian,1 Moving,E ST
1/20/20,21:28:33,hispanic/latino(a),2 Equipment,2ND ST
1/20/20,08:07:23,mixed,1 Moving,D ST
1/20/20,21:11:56,white,3 Non-Moving,RESEARCH PARK DR
1/21/20,23:21:07,hispanic/latino(a),2 Equipment,TULIP LN
1/21/20,00:52:29,hispanic/latino(a),1 Moving,ANDERSON RD
1/22/20,19:06:05,hispanic/latino(a),2 Equipment,POLE LINE RD
1/22/20,15:52:47,white,2 Equipment,I 80 W
1/22/20,21:15:35,white,2 Equipment,3RD ST
1/22/20,01:46:28,black/african american,2 Equipment,I 80 W
1/22/20,13:08:24,white,2 Equipment,W COVELL BL
1/22/20,23:13:34,black/african american,1 Moving,COWELL BL
1/22/20,01:08:54,hispanic/latino(a),2 Equipment,CHILES RD
1/22/20,22:59:15,black/african american,1 Moving,I 80 E
1/23/20,21:08:41,hispanic/latino(a),1 Moving,F ST
1/23/20,09:12:58,white,1 Moving,ALHAMBRA DR
