date,time,race,type,location
2/11/20,12:08:01,asian,1 Moving,ANDERSON RD
2/11/20,09:04:23,asian,1 Moving,2ND ST
2/11/20,10:58:43,hispanic/latino(a),1 Moving,W OLIVE DR
2/11/20,09:36:57,white,1 Moving,SYCAMORE LN
2/11/20,11:38:53,hispanic/latino(a),1 Moving,F ST
2/11/20,08:09:36,black/african american,2 Equipment,E 8TH ST
2/11/20,09:21:32,hispanic/latino(a),3 Non-Moving,CHILES RD
2/11/20,09:21:32,white,3 Non-Moving,CHILES RD
2/11/20,10:55:06,white,1 Moving,W COVELL BL
2/11/20,10:46:28,white,1 Moving,LYNDELL TR
2/11/20,09:54:50,hispanic/latino(a),1 Moving,ANDERSON RD
2/11/20,16:52:34,hispanic/latino(a),2 Equipment,RESEARCH PARK DR
2/11/20,09:43:23,white,1 Moving,SYCAMORE LN
2/11/20,20:28:05,hispanic/latino(a),2 Equipment,OLIVE DR
2/11/20,22:58:42,hispanic/latino(a),1 Moving,F ST
2/11/20,11:49:23,middle eastern or south asian,1 Moving,ANDERSON RD
2/11/20,09:47:43,asian,1 Moving,SYCAMORE LN
2/11/20,12:36:56,asian,3 Non-Moving,L ST
2/11/20,17:15:38,white,2 Equipment,CHESTNUT LN
2/11/20,08:44:45,white,1 Moving,W 8TH ST
2/11/20,08:58:33,white,1 Moving,W 8TH ST
2/11/20,10:11:02,asian,1 Moving,BOSTON TR
2/12/20,00:09:09,white,2 Equipment,OLIVE DR
2/12/20,11:24:54,asian,1 Moving,1ST ST
2/12/20,10:49:33,white,1 Moving,2ND ST
2/12/20,08:36:25,white,1 Moving,3RD ST
2/12/20,11:02:38,hispanic/latino(a),3 Non-Moving,CANTRILL DR
2/12/20,17:09:33,black/african american,2 Equipment,I 80 E
2/12/20,17:09:33,black/african american,2 Equipment,I 80 E
2/12/20,11:09:03,hispanic/latino(a),1 Moving,ANDERSON RD
2/12/20,10:50:29,asian,1 Moving,ANDERSON RD
2/12/20,22:19:16,black/african american,3 Non-Moving,CHILES RD
2/12/20,14:48:09,white,1 Moving,DA VINCI CT
2/12/20,10:25:54,asian,1 Moving,2ND ST
2/12/20,10:33:22,white,3 Non-Moving,K ST
2/12/20,08:48:44,white,1 Moving,3RD ST
2/12/20,11:01:25,black/african american,2 Equipment,F ST
2/12/20,08:38:29,asian,1 Moving,3RD ST
2/12/20,08:42:00,hispanic/latino(a),1 Moving,EMERALD BAY DR
2/12/20,08:36:40,white,1 Moving,W COVELL BL
2/12/20,08:43:19,white,1 Moving,3RD ST
2/12/20,17:03:20,white,3 Non-Moving,5TH ST
2/12/20,08:45:44,hispanic/latino(a),1 Moving,W COVELL BL
2/12/20,11:33:39,mixed,1 Moving,E 14TH ST
2/12/20,08:27:19,hispanic/latino(a),1 Moving,F ST
2/12/20,16:26:47,asian,1 Moving,5TH ST
2/13/20,22:34:02,middle eastern or south asian,1 Moving,DREXEL DR
2/13/20,12:58:21,white,1 Moving,E 14TH ST
2/13/20,15:38:46,hispanic/latino(a),1 Moving,COWELL BL
2/13/20,11:56:47,asian,1 Moving,ANDERSON RD
2/13/20,14:46:47,white,1 Moving,SYCAMORE LN
2/13/20,10:48:22,mixed,2 Equipment,RICHARDS BL
2/13/20,16:33:41,white,3 Non-Moving,POLE LINE RD
2/13/20,12:36:45,asian,1 Moving,RADCLIFFE DR
2/13/20,10:41:43,white,1 Moving,1ST ST
2/13/20,12:15:38,white,1 Moving,VILLANOVA DR
2/13/20,14:36:15,white,1 Moving,SYCAMORE LN
2/13/20,14:11:02,white,3 Non-Moving,J ST
2/13/20,11:24:37,asian,1 Moving,B ST
2/13/20,11:39:34,white,1 Moving,F ST
2/14/20,22:30:43,middle eastern or south asian,2 Equipment,RUSSELL BL
2/14/20,15:59:50,white,1 Moving,ANDERSON RD
2/14/20,22:07:11,middle eastern or south asian,2 Equipment,W COVELL BL
2/14/20,11:19:37,white,3 Non-Moving,E 8TH ST
2/14/20,23:18:26,black/african american,2 Equipment,F ST
2/14/20,23:38:28,white,2 Equipment,COWELL BL
2/14/20,23:28:32,white,2 Equipment,RICHARDS BL
2/14/20,22:53:56,hispanic/latino(a),3 Non-Moving,F ST
2/15/20,00:53:09,white,2 Equipment,E ST
2/15/20,02:46:43,hispanic/latino(a),2 Equipment,W COVELL BL
2/15/20,22:26:06,black/african american,3 Non-Moving,RESEARCH PARK DR
2/15/20,02:53:17,asian,1 Moving,ALVARADO AV
2/15/20,00:21:12,hispanic/latino(a),2 Equipment,5TH ST
2/15/20,03:08:29,asian,1 Moving,E ST
2/15/20,21:38:00,white,2 Equipment,LA RUE RD
2/15/20,02:29:16,middle eastern or south asian,1 Moving,E ST
2/15/20,23:16:23,white,2 Equipment,CHILES RD
2/15/20,03:08:18,asian,1 Moving,W COVELL BL
2/15/20,10:39:09,hispanic/latino(a),1 Moving,E COVELL BL
2/15/20,22:51:36,asian,2 Equipment,COWELL BL
2/16/20,21:56:04,middle eastern or south asian,1 Moving,2ND ST
2/16/20,02:00:03,white,2 Equipment,5TH ST
2/16/20,00:49:19,hispanic/latino(a),2 Equipment,5TH ST
2/16/20,03:33:22,hispanic/latino(a),2 Equipment,COWELL BL
2/16/20,00:24:31,white,2 Equipment,5TH ST
2/16/20,21:25:53,white,2 Equipment,B ST
2/16/20,01:23:11,black/african american,2 Equipment,2ND ST
2/16/20,00:01:39,white,2 Equipment,LA RUE RD
2/17/20,12:01:16,white,2 Equipment,HAMEL ST
2/17/20,18:12:07,white,2 Equipment,MACE BL
2/17/20,16:27:41,asian,1 Moving,LILLARD DR
2/17/20,23:11:02,black/african american,2 Equipment,OLIVE DR
2/17/20,00:24:40,hispanic/latino(a),2 Equipment,G ST
2/17/20,11:47:11,white,1 Moving,COWELL BL
2/17/20,22:40:49,hispanic/latino(a),2 Equipment,MACE BL
2/17/20,00:14:22,hispanic/latino(a),2 Equipment,W OLIVE DR
2/18/20,21:08:05,white,3 Non-Moving,I 80 W
2/18/20,23:29:36,mixed,3 Non-Moving,RESEARCH PARK DR
2/18/20,09:20:50,middle eastern or south asian,1 Moving,DANBURY ST
2/18/20,23:15:52,white,3 Non-Moving,I 80 W
2/18/20,04:27:09,black/african american,2 Equipment,COWELL BL
2/18/20,09:54:19,white,3 Non-Moving,3RD ST
2/18/20,22:26:16,asian,2 Equipment,POLE LINE RD
2/18/20,08:34:00,white,1 Moving,LOYOLA DR
2/18/20,15:57:36,black/african american,2 Equipment,CHILES RD
2/18/20,08:44:50,white,1 Moving,TEMPLE DR
2/19/20,17:36:11,black/african american,2 Equipment,I 80 E
2/19/20,19:19:42,black/african american,3 Non-Moving,RICHARDS BL
2/19/20,09:59:23,white,1 Moving,RUSSELL BL
2/19/20,08:22:51,hispanic/latino(a),3 Non-Moving,LILLARD DR
2/19/20,15:01:29,hispanic/latino(a),1 Moving,3RD ST
2/19/20,14:56:29,white,1 Moving,LOYOLA DR
2/20/20,23:55:14,white,2 Equipment,COWELL BL
2/20/20,17:50:21,black/african american,3 Non-Moving,MACE BL
2/20/20,18:29:37,middle eastern or south asian,1 Moving,MACE BL
2/20/20,04:38:57,white,2 Equipment,I 80 W
2/20/20,21:04:15,white,2 Equipment,3RD ST
2/20/20,22:15:31,white,3 Non-Moving,CHILES RD
2/20/20,23:20:13,white,3 Non-Moving,I 80 W
2/20/20,00:44:52,white,3 Non-Moving,COWELL BL
2/20/20,17:47:41,hispanic/latino(a),2 Equipment,RESEARCH PARK DR
2/20/20,02:44:23,white,1 Moving,SYCAMORE LN
2/20/20,17:24:59,black/african american,2 Equipment,I 80 E
2/20/20,21:14:51,white,2 Equipment,HWY 113 N
2/20/20,01:53:12,black/african american,3 Non-Moving,COWELL BL
2/21/20,02:00:34,white,1 Moving,RICHARDS BL
2/21/20,15:17:09,hispanic/latino(a),3 Non-Moving,MACE BL
2/21/20,15:05:07,hispanic/latino(a),1 Moving,MACE BL
2/21/20,20:19:23,asian,1 Moving,I 80 W
2/21/20,21:19:59,asian,2 Equipment,F ST
2/21/20,14:13:48,white,1 Moving,POLE LINE RD
2/21/20,21:06:49,white,3 Non-Moving,COWELL BL
2/22/20,22:07:14,white,1 Moving,E COVELL BL
2/22/20,22:13:44,white,2 Equipment,MACE BL
2/23/20,07:39:05,white,2 Equipment,RUSSELL BL
2/23/20,21:38:23,middle eastern or south asian,1 Moving,COWELL BL
2/23/20,22:59:30,hispanic/latino(a),1 Moving,I 80 E
2/24/20,19:50:51,hispanic/latino(a),3 Non-Moving,2ND ST
2/24/20,14:31:44,black/african american,3 Non-Moving,I 80 W
2/24/20,04:03:22,white,1 Moving,OLIVE DR
2/24/20,18:12:54,hispanic/latino(a),3 Non-Moving,E 8TH ST
2/24/20,03:53:58,white,1 Moving,CHILES RD
2/24/20,13:21:45,white,3 Non-Moving,B ST
2/25/20,17:16:47,black/african american,2 Equipment,CHILES RD
2/25/20,22:09:51,hispanic/latino(a),2 Equipment,W COVELL BL
2/25/20,15:44:34,hispanic/latino(a),2 Equipment,MACE BL
2/25/20,09:00:57,white,1 Moving,RUSSELL BL
2/25/20,23:03:38,white,3 Non-Moving,FERMI PL
2/25/20,22:43:34,white,2 Equipment,OLIVE DR
2/25/20,23:54:14,hispanic/latino(a),3 Non-Moving,WRIGHT BL
2/25/20,17:49:50,black/african american,3 Non-Moving,CHESTNUT PL
2/25/20,15:21:15,hispanic/latino(a),3 Non-Moving,W COVELL BL
2/25/20,04:50:20,black/african american,1 Moving,E ST
2/26/20,15:59:13,white,2 Equipment,EL CEMONTE AV
2/26/20,22:01:21,middle eastern or south asian,2 Equipment,5TH ST
2/26/20,20:25:08,asian,2 Equipment,L ST
2/26/20,16:28:41,black/african american,3 Non-Moving,E 8TH ST
2/26/20,00:12:31,asian,1 Moving,W COVELL BL
2/26/20,23:27:35,asian,1 Moving,LA RUE RD
2/27/20,22:55:59,middle eastern or south asian,1 Moving,G ST
2/27/20,09:21:33,hispanic/latino(a),2 Equipment,2ND ST
2/27/20,08:38:28,hispanic/latino(a),1 Moving,LILLARD DR
2/27/20,22:16:40,hispanic/latino(a),2 Equipment,COWELL BL
2/27/20,22:35:12,black/african american,2 Equipment,ALHAMBRA DR
2/27/20,23:30:40,hispanic/latino(a),1 Moving,F ST
2/27/20,10:18:50,white,1 Moving,5TH ST
2/27/20,10:28:00,white,2 Equipment,5TH ST
2/27/20,20:28:47,white,2 Equipment,W 8TH ST
2/27/20,22:51:16,black/african american,3 Non-Moving,G ST
2/27/20,22:46:35,asian,1 Moving,MACE BL
2/28/20,10:01:26,white,1 Moving,5TH ST
2/28/20,11:40:21,white,1 Moving,F ST
2/28/20,21:44:25,white,1 Moving,L ST
2/28/20,00:57:31,mixed,1 Moving,E COVELL BL
2/28/20,22:41:18,hispanic/latino(a),2 Equipment,E ST
2/28/20,23:07:24,hispanic/latino(a),1 Moving,2ND ST
2/28/20,20:16:44,white,2 Equipment,E ST
2/28/20,22:29:34,hispanic/latino(a),1 Moving,E COVELL BL
2/28/20,22:12:18,white,1 Moving,E COVELL BL
2/28/20,02:06:24,white,1 Moving,RESEARCH PARK DR
2/28/20,22:53:52,hispanic/latino(a),1 Moving,E COVELL BL
2/28/20,22:43:50,asian,1 Moving,E COVELL BL
2/28/20,10:08:00,asian,1 Moving,4TH ST
2/28/20,23:26:33,middle eastern or south asian,1 Moving,MACE BL
2/29/20,21:42:35,white,1 Moving,E COVELL BL
2/29/20,01:37:13,asian,1 Moving,LYNDELL TR
2/29/20,03:38:19,asian,1 Moving,RUSSELL BL
2/29/20,21:55:07,hispanic/latino(a),1 Moving,ALHAMBRA DR
2/29/20,20:12:50,middle eastern or south asian,1 Moving,MACE BL
2/29/20,20:01:01,asian,1 Moving,MACE BL
2/29/20,00:02:07,black/african american,1 Moving,CHILES RD
2/29/20,22:48:50,asian,1 Moving,5TH ST
2/29/20,00:26:19,hispanic/latino(a),1 Moving,G ST
2/29/20,00:21:21,white,1 Moving,E COVELL BL
3/1/20,05:27:16,hispanic/latino(a),1 Moving,I 80 W
3/1/20,06:37:00,hispanic/latino(a),1 Moving,5TH ST
3/1/20,23:27:27,asian,1 Moving,E COVELL BL
3/1/20,05:06:11,black/african american,1 Moving,I 80 E
3/1/20,13:33:36,white,3 Non-Moving,5TH ST
3/1/20,23:54:30,white,1 Moving,W 8TH ST
3/1/20,04:37:36,hispanic/latino(a),1 Moving,J ST
3/1/20,03:28:20,hispanic/latino(a),1 Moving,I 80 E
3/1/20,23:19:42,hispanic/latino(a),3 Non-Moving,COWELL BL
3/1/20,13:21:10,white,2 Equipment,W 8TH ST
3/1/20,21:25:33,hispanic/latino(a),1 Moving,E COVELL BL
3/1/20,23:50:58,hispanic/latino(a),1 Moving,ANDERSON RD
3/1/20,21:35:03,white,3 Non-Moving,ALHAMBRA DR
3/1/20,00:39:11,black/african american,1 Moving,E 8TH ST
3/2/20,05:17:36,hispanic/latino(a),1 Moving,MACE BL
3/2/20,16:19:30,black/african american,3 Non-Moving,E 14TH ST
3/2/20,08:32:57,mixed,1 Moving,MONTGOMERY AV
3/2/20,18:24:12,white,1 Moving,E ST
3/2/20,14:56:19,white,1 Moving,E 8TH ST
3/2/20,03:38:07,hispanic/latino(a),1 Moving,RUSSELL BL
3/2/20,11:39:03,hispanic/latino(a),2 Equipment,E 8TH ST
3/2/20,18:53:14,asian,1 Moving,RICHARDS BL
3/2/20,01:39:14,white,1 Moving,E COVELL BL
3/2/20,06:04:41,hispanic/latino(a),1 Moving,E COVELL BL
3/2/20,03:17:42,white,1 Moving,E COVELL BL
3/2/20,18:49:23,black/african american,2 Equipment,OLIVE DR
3/2/20,02:53:00,asian,1 Moving,E COVELL BL
3/3/20,11:34:00,mixed,2 Equipment,F ST
3/3/20,00:58:56,white,3 Non-Moving,COWELL BL
3/3/20,11:20:37,white,2 Equipment,CHESTNUT LN
3/3/20,12:46:01,white,1 Moving,J ST
3/3/20,20:53:08,white,1 Moving,CATALINA DR
3/3/20,10:32:06,black/african american,2 Equipment,RICHARDS BL
3/3/20,10:30:31,hispanic/latino(a),1 Moving,MOORE BL
3/3/20,10:27:53,white,1 Moving,POLE LINE RD
3/3/20,09:22:27,black/african american,2 Equipment,2ND ST
3/3/20,09:57:31,white,1 Moving,CANTRILL DR
3/3/20,16:40:16,white,2 Equipment,CHESTNUT LN
3/3/20,01:36:30,asian,1 Moving,5TH ST
3/3/20,08:34:55,black/african american,2 Equipment,E COVELL BL
3/3/20,08:53:42,hispanic/latino(a),1 Moving,LA RUE RD
3/3/20,23:38:19,asian,1 Moving,I 80 E
3/3/20,10:12:40,white,1 Moving,1ST ST
3/3/20,20:22:39,hispanic/latino(a),2 Equipment,L ST
3/3/20,10:30:31,white,1 Moving,MOORE BL
3/3/20,15:35:16,white,3 Non-Moving,F ST
3/3/20,09:51:20,asian,1 Moving,1ST ST
3/3/20,11:33:42,white,1 Moving,ANDERSON RD
3/3/20,23:57:48,asian,1 Moving,4TH ST
3/4/20,14:28:46,white,3 Non-Moving,SHASTA DR
3/4/20,15:23:25,hispanic/latino(a),2 Equipment,J ST
3/4/20,15:45:51,hispanic/latino(a),2 Equipment,OLIVE DR
3/4/20,02:45:44,white,2 Equipment,2ND ST
3/4/20,21:16:34,hispanic/latino(a),3 Non-Moving,E 8TH ST
3/4/20,08:26:21,white,1 Moving,CALIFORNIA AV
3/4/20,09:32:15,white,1 Moving,ANDERSON RD
3/4/20,09:37:50,white,1 Moving,2ND ST
3/4/20,09:26:29,white,1 Moving,W 14TH ST
3/4/20,12:23:25,white,1 Moving,COWELL BL
3/4/20,10:48:51,hispanic/latino(a),2 Equipment,5TH ST
3/4/20,14:10:45,white,2 Equipment,L ST
3/4/20,09:33:43,asian,2 Equipment,BIANCO CT
3/4/20,08:28:06,black/african american,1 Moving,E 14TH ST
3/4/20,08:49:19,white,2 Equipment,F ST
3/5/20,15:59:52,white,1 Moving,POLE LINE RD
3/5/20,01:41:52,black/african american,1 Moving,MACE BL
3/5/20,08:28:55,white,1 Moving,E COVELL BL
3/5/20,15:54:35,white,1 Moving,CR32B
3/5/20,22:07:09,white,2 Equipment,W COVELL BL
3/5/20,10:41:38,white,3 Non-Moving,L ST
3/5/20,15:24:04,white,3 Non-Moving,POLE LINE RD
3/5/20,22:03:54,white,3 Non-Moving,5TH ST
3/5/20,15:26:34,white,2 Equipment,COWELL BL
3/5/20,09:20:23,white,3 Non-Moving,E 8TH ST
3/5/20,22:33:13,black/african american,1 Moving,I 80 E
3/5/20,08:38:38,hispanic/latino(a),1 Moving,ANDERSON RD
3/5/20,08:27:57,white,1 Moving,ANDERSON RD
3/5/20,10:41:38,white,3 Non-Moving,L ST
3/5/20,08:25:51,asian,1 Moving,F ST
3/6/20,01:42:49,asian,2 Equipment,2ND ST
3/6/20,09:13:55,white,3 Non-Moving,RUSSELL BL
3/6/20,15:01:12,asian,1 Moving,I ST
3/6/20,01:33:59,white,1 Moving,3RD ST
3/7/20,21:39:47,white,1 Moving,RUSSELL BL
3/7/20,00:58:49,hispanic/latino(a),1 Moving,RUSSELL BL
3/7/20,01:31:01,white,2 Equipment,E COVELL BL
3/7/20,23:03:14,hispanic/latino(a),1 Moving,POLE LINE RD
3/7/20,01:15:30,white,1 Moving,E COVELL BL
3/7/20,18:15:58,white,1 Moving,COWELL BL
3/7/20,00:36:52,white,1 Moving,E COVELL BL
3/7/20,01:21:17,asian,1 Moving,E COVELL BL
3/8/20,06:37:50,asian,1 Moving,I 80 E
3/8/20,22:10:35,hispanic/latino(a),1 Moving,F ST
3/8/20,03:11:50,middle eastern or south asian,2 Equipment,RUSSELL BL
3/8/20,00:11:11,white,2 Equipment,B ST
3/8/20,09:11:33,white,1 Moving,SYCAMORE LN
3/8/20,23:21:35,hispanic/latino(a),2 Equipment,W COVELL BL
3/8/20,00:20:31,white,2 Equipment,W 8TH ST
3/8/20,06:19:41,white,1 Moving,E COVELL BL
3/8/20,10:15:46,white,1 Moving,PURDUE DR
3/8/20,10:06:16,white,1 Moving,HWY 113 S
3/8/20,11:27:45,white,1 Moving,E 8TH ST
3/8/20,21:33:34,hispanic/latino(a),1 Moving,ANDERSON RD
3/8/20,21:36:56,hispanic/latino(a),1 Moving,ANDERSON RD
3/8/20,01:01:35,hispanic/latino(a),2 Equipment,2ND ST
3/8/20,09:24:55,white,1 Moving,HWY 113 N
3/8/20,06:09:56,white,2 Equipment,E 8TH ST
3/8/20,04:58:50,black/african american,2 Equipment,MACE BL
3/8/20,00:02:40,middle eastern or south asian,1 Moving,E 8TH ST
3/8/20,21:23:41,asian,1 Moving,W 8TH ST
3/8/20,10:28:53,mixed,1 Moving,W 8TH ST
3/8/20,06:52:48,asian,1 Moving,MACE BL
3/8/20,15:47:13,asian,1 Moving,W COVELL BL
3/9/20,03:09:00,asian,1 Moving,I 80 E
3/9/20,00:36:28,middle eastern or south asian,1 Moving,RUSSELL BL
3/9/20,03:37:29,white,2 Equipment,F ST
3/9/20,01:01:24,black/african american,2 Equipment,POLE LINE RD
3/9/20,02:22:16,hispanic/latino(a),2 Equipment,SYCAMORE LN
3/10/20,14:43:59,white,1 Moving,PACIFIC DR
3/10/20,16:43:07,hispanic/latino(a),2 Equipment,RESEARCH PARK DR
3/10/20,08:23:48,hispanic/latino(a),1 Moving,E 14TH ST
3/10/20,15:10:20,white,1 Moving,RUSSELL BL
3/10/20,08:34:07,white,1 Moving,SYCAMORE LN
3/10/20,08:11:54,black/african american,2 Equipment,CHILES RD
3/10/20,14:45:21,mixed,2 Equipment,E COVELL BL
3/10/20,12:35:47,middle eastern or south asian,1 Moving,RUSSELL BL
3/10/20,07:20:05,white,1 Moving,COWELL BL
3/10/20,15:27:05,white,2 Equipment,CANNERY LOOP
3/10/20,09:43:17,asian,1 Moving,E COVELL BL
3/10/20,08:26:16,mixed,1 Moving,DANBURY ST
3/10/20,07:48:26,white,1 Moving,ALHAMBRA DR
3/11/20,07:29:04,white,3 Non-Moving,CHILES RD
3/11/20,02:19:37,hispanic/latino(a),2 Equipment,5TH ST
3/11/20,18:31:48,white,2 Equipment,COWELL BL
3/12/20,22:40:36,black/african american,2 Equipment,RUSSELL BL
3/13/20,09:20:27,white,2 Equipment,VILLANOVA DR
3/14/20,15:47:36,white,2 Equipment,CR32B
3/14/20,16:14:37,black/african american,1 Moving,MERCEDES AV
3/15/20,21:25:43,hispanic/latino(a),2 Equipment,SYCAMORE LN
3/15/20,20:26:42,white,1 Moving,F ST
3/15/20,08:02:09,white,1 Moving,LOYOLA DR
3/15/20,14:00:12,asian,1 Moving,RICHARDS BL
3/16/20,05:42:52,white,1 Moving,I 80 E
3/17/20,08:12:45,black/african american,1 Moving,2ND ST
3/17/20,08:26:19,asian,1 Moving,2ND ST
3/17/20,19:42:24,white,2 Equipment,RICHARDS BL
3/17/20,11:16:00,white,1 Moving,CALIFORNIA AV
3/17/20,17:01:04,white,3 Non-Moving,CHILES RD
3/18/20,21:48:20,white,3 Non-Moving,POLE LINE RD
3/18/20,22:18:01,asian,1 Moving,W COVELL BL
3/22/20,00:38:57,black/african american,1 Moving,W 8TH ST
3/23/20,15:37:09,asian,2 Equipment,G ST
3/23/20,02:40:04,asian,2 Equipment,COWELL BL
3/24/20,19:16:55,hispanic/latino(a),3 Non-Moving,ALHAMBRA DR
3/25/20,22:52:32,asian,1 Moving,I 80 E
3/28/20,01:24:08,middle eastern or south asian,1 Moving,E COVELL BL
3/28/20,21:07:17,hispanic/latino(a),2 Equipment,2ND ST
3/28/20,00:27:15,asian,1 Moving,RICHARDS BL
3/28/20,06:27:49,white,2 Equipment,E COVELL BL
3/29/20,20:39:26,black/african american,2 Equipment,MACE BL
3/29/20,19:05:36,white,1 Moving,E COVELL BL
3/29/20,18:57:45,hispanic/latino(a),1 Moving,E COVELL BL
3/29/20,05:57:43,hispanic/latino(a),1 Moving,E COVELL BL
3/29/20,18:48:46,white,1 Moving,E COVELL BL
3/29/20,19:19:29,white,1 Moving,I 80 W
4/1/20,19:45:25,white,1 Moving,I 80 W
4/5/20,23:24:51,hispanic/latino(a),1 Moving,RUSSELL BL
4/5/20,01:54:23,white,2 Equipment,W COVELL BL
4/12/20,05:54:58,hispanic/latino(a),1 Moving,I 80 E
4/12/20,00:01:49,hispanic/latino(a),1 Moving,COWELL BL
4/12/20,05:38:20,white,1 Moving,I 80 E
4/12/20,00:14:04,black/african american,1 Moving,W COVELL BL
4/13/20,21:45:13,white,2 Equipment,5TH ST
4/13/20,15:43:55,white,3 Non-Moving,ALHAMBRA DR
4/14/20,22:00:10,white,1 Moving,ALHAMBRA DR
4/14/20,18:51:40,white,3 Non-Moving,C ST
4/14/20,15:30:57,hispanic/latino(a),2 Equipment,OLIVE DR
4/15/20,21:18:00,white,3 Non-Moving,GLIDE DR
4/17/20,21:23:25,white,1 Moving,F ST
4/18/20,00:10:21,asian,3 Non-Moving,W 14TH ST
4/18/20,21:09:08,hispanic/latino(a),1 Moving,MACE BL
4/18/20,22:35:43,middle eastern or south asian,1 Moving,E COVELL BL
4/18/20,22:50:09,white,1 Moving,MACE BL
4/18/20,22:13:37,hispanic/latino(a),1 Moving,MACE BL
4/18/20,21:20:30,hispanic/latino(a),1 Moving,MACE BL
4/18/20,22:27:33,white,1 Moving,MACE BL
4/19/20,02:15:27,white,1 Moving,I 80 E
4/19/20,05:02:37,mixed,1 Moving,I 80 E
4/19/20,20:59:23,hispanic/latino(a),1 Moving,E COVELL BL
4/19/20,23:07:03,black/african american,3 Non-Moving,MACE BL
4/20/20,04:29:46,white,1 Moving,5TH ST
4/20/20,19:19:56,hispanic/latino(a),2 Equipment,MACE BL
4/20/20,21:03:12,white,1 Moving,MACE BL
4/20/20,00:19:25,black/african american,1 Moving,I 80 E
4/20/20,05:17:05,white,2 Equipment,2ND ST
4/20/20,20:49:54,hispanic/latino(a),1 Moving,CR32B
4/21/20,02:13:11,white,2 Equipment,2ND ST
4/21/20,18:02:10,hispanic/latino(a),1 Moving,CHILES RD
4/21/20,01:45:10,white,2 Equipment,5TH ST
4/21/20,21:02:56,white,1 Moving,E COVELL BL
4/21/20,19:21:21,white,1 Moving,ANDERSON RD
4/21/20,20:23:00,white,3 Non-Moving,CHILES RD
4/21/20,17:10:15,white,2 Equipment,POMONA DR
4/22/20,19:17:15,white,1 Moving,2ND ST
4/23/20,20:46:28,hispanic/latino(a),3 Non-Moving,W COVELL BL
4/23/20,18:42:11,hispanic/latino(a),1 Moving,LEHIGH DR
4/23/20,15:47:34,white,1 Moving,2ND ST
4/25/20,22:42:38,asian,1 Moving,COWELL BL
4/26/20,04:03:34,white,1 Moving,E COVELL BL
4/26/20,20:12:32,white,1 Moving,W OLIVE DR
4/26/20,22:02:48,white,2 Equipment,COWELL BL
4/26/20,08:57:16,white,1 Moving,LAKE BL
4/27/20,23:52:55,hispanic/latino(a),3 Non-Moving,
4/27/20,00:39:05,hispanic/latino(a),1 Moving,F ST
4/29/20,21:44:34,hispanic/latino(a),1 Moving,POLE LINE RD
4/30/20,19:06:34,hispanic/latino(a),2 Equipment,CHILES RD
5/1/20,20:54:32,white,1 Moving,HUMBOLDT AV
5/3/20,02:02:55,asian,1 Moving,S CAMPUS WY
5/3/20,00:17:03,hispanic/latino(a),1 Moving,F ST
5/3/20,21:47:22,hispanic/latino(a),1 Moving,F ST
5/7/20,10:26:34,hispanic/latino(a),1 Moving,ALHAMBRA DR
5/7/20,19:51:21,hispanic/latino(a),1 Moving,I 80 E
5/10/20,18:23:42,hispanic/latino(a),1 Moving,5TH ST
5/10/20,18:28:53,white,1 Moving,2ND ST
5/10/20,18:38:27,black/african american,1 Moving,MACE BL
5/10/20,18:46:48,hispanic/latino(a),1 Moving,CHILES RD
5/10/20,18:58:17,white,3 Non-Moving,5TH ST
5/10/20,20:19:38,asian,1 Moving,ALHAMBRA DR
5/10/20,21:34:06,hispanic/latino(a),1 Moving,ALHAMBRA DR
5/10/20,21:52:11,white,1 Moving,ALHAMBRA DR
5/10/20,22:00:58,white,1 Moving,ALHAMBRA DR
5/10/20,23:53:45,black/african american,2 Equipment,CHILES RD
5/10/20,04:22:12,hispanic/latino(a),1 Moving,I 80 E
5/10/20,20:13:08,asian,2 Equipment,ALHAMBRA DR
5/10/20,20:04:36,asian,1 Moving,ALHAMBRA DR
5/10/20,06:19:00,black/african american,1 Moving,I 80 W
5/10/20,00:17:46,asian,1 Moving,5TH ST
5/11/20,00:54:06,hispanic/latino(a),1 Moving,I 80 E
5/11/20,11:10:56,asian,1 Moving,VIA COLONNA TR
5/11/20,10:56:29,white,1 Moving,ALHAMBRA DR
5/11/20,09:48:35,white,1 Moving,ALHAMBRA DR
5/11/20,09:22:23,white,1 Moving,ALHAMBRA DR
5/12/20,05:03:07,white,2 Equipment,1ST ST
5/13/20,04:44:44,black/african american,3 Non-Moving,RESEARCH PARK DR
5/13/20,23:45:09,black/african american,1 Moving,MACE BL
5/14/20,07:33:11,hispanic/latino(a),1 Moving,CHILES RD
5/16/20,22:33:59,white,2 Equipment,E COVELL BL
5/17/20,21:44:32,white,1 Moving,MILLER DR
5/17/20,04:37:00,hispanic/latino(a),3 Non-Moving,CR32A
5/17/20,18:37:55,white,3 Non-Moving,DREW AV
5/18/20,01:24:22,white,1 Moving,E 8TH ST
5/19/20,21:15:11,asian,1 Moving,CANTRILL DR
5/19/20,00:58:45,white,2 Equipment,MACE BL
5/21/20,20:59:18,white,3 Non-Moving,I 80 E
5/21/20,21:15:54,black/african american,2 Equipment,CHILES RD
5/22/20,16:46:58,hispanic/latino(a),1 Moving,3RD ST
5/23/20,22:17:34,white,1 Moving,E COVELL BL
5/23/20,22:27:59,white,1 Moving,E COVELL BL
5/24/20,22:19:28,hispanic/latino(a),2 Equipment,W COVELL BL
