,date,time,race,type,race perceived prior,experience,location,sunsettime,dusktime,mins_sunset,mins_dusk,mins_stop_time,mins_before_dusk,itp,dark
52,2020-10-06 16:49:00,1900-01-01 16:49:00,white,1_Moving violation,,20.0,Sir Francis Drake Boulevard at Nicasio Valley Road,18:45:12,19:12:01,1125.0,1152.0,1009.0,143.0,0,0
54,2020-10-06 22:51:00,1900-01-01 22:51:00,white,2_Equipment violation,,5.0,500 REDWOOD HWY FRONTAGE,18:45:12,19:12:01,1125.0,1152.0,1371.0,-219.0,0,1
60,2020-10-07 20:06:00,1900-01-01 20:06:00,black/african american,2_Equipment violation,,3.0,400 Sir Francis Drake Blvd,18:43:43,19:10:33,1124.0,1151.0,1206.0,-55.0,1,1
61,2020-10-07 20:58:00,1900-01-01 20:58:00,native american,1_Moving violation,,14.0,Sir Francis Drake/Castro St,18:43:43,19:10:33,1124.0,1151.0,1258.0,-107.0,1,1
62,2020-10-07 20:47:00,1900-01-01 20:47:00,native american,1_Moving violation,,14.0,Sir Francis Drake/Castro,18:43:43,19:10:33,1124.0,1151.0,1247.0,-96.0,1,1
63,2020-10-07 21:48:00,1900-01-01 21:48:00,black/african american,1_Moving violation,,11.0,Gate six road,18:43:43,19:10:33,1124.0,1151.0,1308.0,-157.0,0,1
64,2020-10-07 23:59:00,1900-01-01 23:59:00,white,1_Moving violation,,13.0,Shoreline hwy@ flamingo rd,18:43:43,19:10:33,1124.0,1151.0,1439.0,-288.0,0,1
73,2020-10-08 16:32:00,1900-01-01 16:32:00,white,1_Moving violation,,17.0,600 Redwood Hwy Frontage ,18:42:14,19:09:05,1122.0,1149.0,992.0,157.0,0,0
75,2020-10-08 17:03:00,1900-01-01 17:03:00,white,,,1.0,100 Donahue St,18:42:14,19:09:05,1122.0,1149.0,1023.0,126.0,0,0
76,2020-10-08 22:15:00,1900-01-01 22:15:00,white,"3_Non-moving violation, including registration",,,Olema hill,18:42:14,19:09:05,1122.0,1149.0,1335.0,-186.0,0,1
77,2020-10-08 22:09:00,1900-01-01 22:09:00,white,2_Equipment violation,,3.0,Hwy 101 at Miller Creek,18:42:14,19:09:05,1122.0,1149.0,1329.0,-180.0,0,1
