date,time,race,type,race perceived prior,experience,location,sunsettime,dusktime,mins_sunset,mins_dusk,mins_stop_time,mins_before_dusk,itp,dark
2020-10-04 04:42:00,1900-01-01 04:42:00,black/african american,2_Equipment violation,,13.0,E sir Francis drake/ larkspur landing,18:48:13,19:15:00,1128.0,1155.0,282.0,873.0,0,0
2020-10-04 11:42:00,1900-01-01 11:42:00,white,,,17.0,800 Redwood Highway Frontage ,18:48:13,19:15:00,1128.0,1155.0,702.0,453.0,0,0
2020-10-04 21:39:00,1900-01-01 21:39:00,white,2_Equipment violation,,3.0,EB Hwy 37 @ Atherton,18:48:13,19:15:00,1128.0,1155.0,1299.0,-144.0,0,1
2020-10-04 22:03:00,1900-01-01 22:03:00,black/african american,2_Equipment violation,,3.0,200 E Sir Francis Drake Blvd,18:48:13,19:15:00,1128.0,1155.0,1323.0,-168.0,0,1
2020-10-04 23:14:00,1900-01-01 23:14:00,white,2_Equipment violation,,11.0,30 Shoreline HWY,18:48:13,19:15:00,1128.0,1155.0,1394.0,-239.0,0,1
2020-10-04 22:42:00,1900-01-01 22:42:00,hispanic/latino(a),,,3.0,Sir Francis Drake Blvd at Wolfe Grade,18:48:13,19:15:00,1128.0,1155.0,1362.0,-207.0,0,1
2020-10-05 00:47:00,1900-01-01 00:47:00,middle eastern or south asian,,,11.0,Parking lot at gate 6 road,18:46:42,19:13:30,1127.0,1154.0,47.0,1107.0,0,0
2020-10-05 05:16:00,1900-01-01 05:16:00,black/african american,2_Equipment violation,,11.0,100 Shoreline HWY,18:46:42,19:13:30,1127.0,1154.0,316.0,838.0,0,0
2020-10-04 00:35:00,1900-01-01 00:35:00,black/african american,,,11.0,100 Drake Avenue ,18:48:13,19:15:00,1128.0,1155.0,35.0,1120.0,0,0
2020-10-04 15:37:00,1900-01-01 15:37:00,white,,,,Shoreline Hwy/Laurel Way,18:48:13,19:15:00,1128.0,1155.0,937.0,218.0,0,0
2020-10-05 08:15:00,1900-01-01 08:15:00,black/african american,,,3.0,600 drake ave ,18:46:42,19:13:30,1127.0,1154.0,495.0,659.0,0,0
2020-10-05 08:15:00,1900-01-01 08:15:00,black/african american,,,3.0,600 drake ave ,18:46:42,19:13:30,1127.0,1154.0,495.0,659.0,0,0
